Order_ID,Date,Month,Quarter,Product,Category,City,Units_Sold,Cost_Per_Unit,Selling_Price_Per_Unit,Discount_Pct,Total_Cost,Revenue,Profit,Profit_Margin_Pct,Stock_Available,Stock_Status,Customer_Type,Sales_Rep,Payment_Mode,Rating,Profit_Status,Discount_Category
TZ1017,2023-01-08,January,Q1,Desktop PC,Computing,Mumbai,4,29417,34058,10,117668,147130.56,29462.56,20.02,14,Low,Loyal,Priya,Debit Card,4.5,Profitable,Low Discount
TZ1018,2023-08-08,August,Q3,Bluetooth Speaker,Audio,Delhi,12,5677,9244,5,68124,127511.74,59387.74,46.57,60,Adequate,Returning,Sneha,Credit Card,3.6,Profitable,Low Discount
TZ1019,2024-11-05,November,Q4,Monitor,Display,Bangalore,7,21470,25303,10,150290,207231.57,56941.57,27.48,136,Overstocked,Loyal,Meera,Cash,3.6,Profitable,Low Discount
TZ1020,2023-12-14,December,Q4,Desktop PC,Computing,Delhi,4,37465,67146,15,149860,326463.85,176603.85,54.1,18,Low,Returning,Priya,Debit Card,4.2,Profitable,Medium Discount
TZ1021,2023-03-19,March,Q1,Headphones,Audio,Hyderabad,2,2328,12684,0,4656,19026,14370,75.53,15,Low,New,Priya,UPI,4.2,Profitable,No Discount
TZ1022,2023-08-07,August,Q3,Monitor,Display,Mumbai,3,20418,10070,25,61254,29907.9,-31346.1,-104.81,83,Adequate,Returning,Amit,UPI,3.7,Loss,High Discount
TZ1023,2024-07-23,July,Q3,Washing Machine,Appliances,Chennai,2,21222,38445,10,42444,64702.94,22258.94,34.4,13,Low,Loyal,Meera,EMI,3.6,Profitable,Low Discount
TZ1024,2023-11-18,November,Q4,Laptop,Computing,Mumbai,8,67954,79807,5,543632,946191.79,402559.79,42.55,13,Low,Loyal,Rahul,Credit Card,3.6,Profitable,Low Discount
TZ1025,2023-03-11,March,Q1,Washing Machine,Appliances,Delhi,4,18928,56334,10,75712,223082.64,147370.64,66.06,47,Adequate,Loyal,Rahul,EMI,3.6,Profitable,Low Discount
TZ1026,2024-11-04,November,Q4,Refrigerator,Appliances,Hyderabad,5,38733,40089,10,193665,175890.49,-17774.51,-10.11,52,Adequate,Loyal,Amit,Credit Card,3.9,Loss,Low Discount
TZ1027,2023-05-15,May,Q2,Washing Machine,Appliances,Bangalore,4,25360,23754,5,101440,90265.2,-11174.8,-12.38,39,Adequate,Loyal,Vikram,Cash,3.6,Loss,Low Discount
TZ1028,2023-08-07,August,Q3,Bluetooth Speaker,Audio,Bangalore,3,3859,2627,5,11577,8235.65,-3341.35,-40.57,33,Adequate,Returning,Priya,UPI,4.8,Loss,Low Discount
TZ1029,2024-12-21,December,Q4,Smartwatch,Mobile,Hyderabad,13,13714,12666,0,178282,160541.55,-17740.45,-11.05,19,Low,Returning,Meera,Cash,4.9,Loss,No Discount
TZ1030,2023-05-18,May,Q2,Smartwatch,Mobile,Mumbai,15,4753,16163,5,71295,276387.3,205092.3,74.2,10,Low,Returning,Vikram,Credit Card,4.6,Profitable,Low Discount
TZ1031,2023-07-28,July,Q3,Washing Machine,Appliances,Bangalore,5,31008,35457,5,155040,185262.83,30222.83,16.31,15,Low,Loyal,Sneha,Debit Card,3.6,Profitable,Low Discount
TZ1032,2023-12-08,December,Q4,Tablet,Computing,Bangalore,3,26478,33077,15,79434,109650.25,30216.25,27.56,45,Adequate,New,Rahul,Cash,4.9,Profitable,Medium Discount
TZ1033,2024-12-08,December,Q4,Tablet,Computing,Hyderabad,1,24098,34087,5,24098,31573.08,7475.08,23.68,37,Adequate,New,Rahul,Debit Card,4,Profitable,Low Discount
TZ1034,2023-02-10,February,Q1,LED TV,Display,Delhi,11,31353,63708,10,344883,693780.12,348897.12,50.29,95,Adequate,Loyal,Sneha,EMI,4.6,Profitable,Low Discount
TZ1035,2023-08-31,August,Q3,Tablet,Computing,Delhi,7,12812,20877,10,89684,159145.37,69461.37,43.65,60,Adequate,Returning,Meera,Credit Card,3.9,Profitable,Low Discount
TZ1036,2024-12-19,December,Q4,Desktop PC,Computing,Chennai,1,55847,46577,5,55847,48894.21,-6952.79,-14.22,39,Adequate,Returning,Amit,Credit Card,3.8,Loss,Low Discount
TZ1037,2024-11-06,November,Q4,Smartphone,Mobile,Chennai,6,17129,14549,10,102774,86813.88,-15960.12,-18.38,13,Low,Loyal,Vikram,UPI,4.5,Loss,Low Discount
TZ1038,2024-07-03,July,Q3,LED TV,Display,Mumbai,2,32118,31702,30,64236,58585.3,-5650.7,-9.65,83,Adequate,New,Rahul,EMI,3.4,Loss,High Discount
TZ1039,2023-11-18,November,Q4,Monitor,Display,Hyderabad,9,11789,22622,30,106101,138955.63,32854.63,23.64,74,Adequate,Returning,Rahul,UPI,3,Profitable,High Discount
TZ1040,2024-07-05,July,Q3,Washing Machine,Appliances,Delhi,3,29132,23585,15,87396,72771.52,-14624.48,-20.1,49,Adequate,Returning,Meera,Cash,4.6,Loss,Medium Discount
TZ1041,2023-11-04,November,Q4,Bluetooth Speaker,Audio,Bangalore,11,4345,6844,15,47795,83188.82,35393.82,42.55,54,Adequate,Returning,Vikram,Credit Card,3.8,Profitable,Medium Discount
TZ1042,2024-11-11,November,Q4,Monitor,Display,Delhi,10,17861,23306,30,178610,233293.06,54683.06,23.44,50,Adequate,Returning,Amit,Credit Card,3.4,Profitable,High Discount
TZ1043,2024-08-16,August,Q3,Refrigerator,Appliances,Bangalore,4,46952,51977,10,187808,205828.92,18020.92,8.76,42,Adequate,Returning,Meera,Credit Card,4.5,Profitable,Low Discount
TZ1044,2023-10-18,October,Q4,Bluetooth Speaker,Audio,Hyderabad,6,1765,5348,10,10590,28157.22,17567.22,62.39,24,Low,New,Priya,Cash,3.6,Profitable,Low Discount
TZ1045,2024-05-01,May,Q2,Refrigerator,Appliances,Mumbai,4,45160,64272,10,180640,277655.04,97015.04,34.94,55,Adequate,Loyal,Sneha,UPI,4.1,Profitable,Low Discount
TZ1046,2023-06-01,June,Q2,Washing Machine,Appliances,Mumbai,1,40507,46862,10,40507,50610.96,10103.96,19.96,21,Low,Loyal,Vikram,UPI,3.6,Profitable,Low Discount
TZ1047,2023-09-13,September,Q3,Desktop PC,Computing,Chennai,3,55450,66808,10,166350,153324.36,-13025.64,-8.5,58,Adequate,Returning,Vikram,EMI,4.1,Loss,Low Discount
TZ1048,2024-07-15,July,Q3,Headphones,Audio,Delhi,12,9277,9373,10,111324,122486.36,11162.36,9.11,58,Adequate,New,Meera,Debit Card,4.6,Profitable,Low Discount
TZ1049,2024-06-17,June,Q2,Headphones,Audio,Delhi,5,8706,3269,10,43530,16181.55,-27348.45,-169.01,25,Adequate,Returning,Amit,Debit Card,4.8,Loss,Low Discount
TZ1050,2023-03-24,March,Q1,Tablet,Computing,Delhi,4,24551,37739,5,98204,157749.02,59545.02,37.75,55,Adequate,New,Rahul,UPI,4.1,Profitable,Low Discount
TZ1051,2024-07-09,July,Q3,Headphones,Audio,Chennai,1,4888,8883,15,4888,7059.76,2171.76,30.76,59,Adequate,Loyal,Meera,Cash,4.8,Profitable,Medium Discount
TZ1052,2024-08-12,August,Q3,Monitor,Display,Chennai,1,19526,19784,25,19526,13873.53,-5652.47,-40.74,103,Overstocked,Loyal,Meera,EMI,3.8,Loss,High Discount
TZ1053,2023-08-14,August,Q3,Headphones,Audio,Delhi,5,8640,9956,0,43200,60233.8,17033.8,28.28,34,Adequate,Returning,Meera,UPI,4.6,Profitable,No Discount
TZ1054,2024-04-23,April,Q2,Tablet,Computing,Hyderabad,1,24911,34395,0,24911,25796.25,885.25,3.43,15,Low,Loyal,Sneha,Credit Card,4.8,Profitable,No Discount
TZ1055,2023-07-06,July,Q3,Laptop,Computing,Bangalore,7,56453,58871,15,395171,385310.7,-9860.3,-2.56,30,Adequate,Returning,Sneha,Debit Card,4.6,Loss,Medium Discount
TZ1056,2024-03-07,March,Q1,Smartwatch,Mobile,Mumbai,8,3317,16272,0,26536,156211.2,129675.2,83.01,13,Low,New,Meera,Cash,4.7,Profitable,No Discount
TZ1057,2024-10-29,October,Q4,Laptop,Computing,Mumbai,4,48065,99999,0,192260,623993.76,431733.76,69.19,49,Adequate,New,Priya,Credit Card,4.2,Profitable,No Discount
TZ1058,2023-04-28,April,Q2,Refrigerator,Appliances,Delhi,4,34793,47175,10,139172,186813,47641,25.5,48,Adequate,Loyal,Meera,Cash,4.7,Profitable,Low Discount
TZ1059,2023-06-17,June,Q2,Smartwatch,Mobile,Mumbai,10,3420,19218,10,34200,207554.4,173354.4,83.52,20,Low,Loyal,Sneha,UPI,4.9,Profitable,Low Discount
TZ1060,2023-07-23,July,Q3,Desktop PC,Computing,Hyderabad,4,31678,51764,0,126712,170821.2,44109.2,25.82,60,Adequate,Loyal,Rahul,Debit Card,4.3,Profitable,No Discount
TZ1061,2024-11-08,November,Q4,LED TV,Display,Mumbai,9,57437,42362,10,516933,535286.23,18353.23,3.43,103,Overstocked,Returning,Rahul,UPI,4.9,Profitable,Low Discount
TZ1062,2024-10-12,October,Q4,Headphones,Audio,Delhi,7,4385,14022,10,30695,126324.2,95629.2,75.7,49,Adequate,Loyal,Sneha,UPI,4.2,Profitable,Low Discount
TZ1063,2024-08-29,August,Q3,Smartwatch,Mobile,Bangalore,14,7022,17610,0,98308,271194,172886,63.75,10,Low,Returning,Priya,UPI,4.4,Profitable,No Discount
TZ1064,2024-11-15,November,Q4,Monitor,Display,Bangalore,1,24197,20650,15,24197,22818.25,-1378.75,-6.04,112,Overstocked,New,Amit,Debit Card,4,Loss,Medium Discount
TZ1065,2024-09-02,September,Q3,Air Conditioner,Appliances,Bangalore,5,25665,65857,10,128325,296356.5,168031.5,56.7,15,Low,New,Meera,UPI,4.2,Profitable,Low Discount
TZ1066,2023-09-04,September,Q3,Air Conditioner,Appliances,Chennai,4,54371,33130,5,217484,107009.9,-110474.1,-103.24,28,Adequate,New,Sneha,Credit Card,4,Loss,Low Discount
TZ1067,2024-08-18,August,Q3,LED TV,Display,Chennai,9,49794,42528,25,448146,268404.84,-179741.16,-66.97,145,Overstocked,Loyal,Amit,Debit Card,3.7,Loss,High Discount
TZ1068,2023-10-05,October,Q4,Smartwatch,Mobile,Bangalore,4,4976,15817,5,19904,78135.98,58231.98,74.53,12,Low,New,Meera,EMI,4.9,Profitable,Low Discount
TZ1069,2024-12-07,December,Q4,Tablet,Computing,Delhi,4,27866,24060,10,111464,123860.88,12396.88,10.01,16,Low,New,Amit,Credit Card,4,Profitable,Low Discount
TZ1070,2023-11-06,November,Q4,Laptop,Computing,Hyderabad,3,52977,47982,0,158931,140347.35,-18583.65,-13.24,45,Adequate,Returning,Meera,Credit Card,4.5,Loss,No Discount
TZ1071,2024-05-17,May,Q2,Desktop PC,Computing,Mumbai,5,55762,63373,15,278810,323202.3,44392.3,13.74,31,Adequate,New,Rahul,Debit Card,4.9,Profitable,Medium Discount
TZ1072,2024-05-04,May,Q2,Desktop PC,Computing,Mumbai,7,57227,36855,0,400589,309582,-91007,-29.4,19,Low,New,Vikram,Debit Card,3.6,Loss,No Discount
TZ1073,2023-09-12,September,Q3,Desktop PC,Computing,Hyderabad,7,39790,66247,15,278530,295627.24,17097.24,5.78,38,Adequate,Returning,Amit,EMI,5,Profitable,Medium Discount
TZ1074,2023-11-09,November,Q4,Refrigerator,Appliances,Hyderabad,1,24503,36617,10,24503,32131.42,7628.42,23.74,26,Adequate,Loyal,Rahul,Credit Card,3.9,Profitable,Low Discount
TZ1075,2024-07-19,July,Q3,Desktop PC,Computing,Delhi,1,51772,61524,15,51772,63277.43,11505.43,18.18,28,Adequate,New,Priya,Debit Card,4.6,Profitable,Medium Discount
TZ1076,2024-12-20,December,Q4,Headphones,Audio,Mumbai,11,5324,6334,5,58564,103256.87,44692.87,43.28,37,Adequate,New,Vikram,Credit Card,4.5,Profitable,Low Discount
TZ1077,2023-09-30,September,Q3,Tablet,Computing,Mumbai,1,17436,40972,10,17436,44249.76,26813.76,60.6,48,Adequate,Loyal,Vikram,Debit Card,4.2,Profitable,Low Discount
TZ1078,2024-04-24,April,Q2,Air Conditioner,Appliances,Bangalore,4,42841,64798,20,171364,207353.6,35989.6,17.36,38,Adequate,New,Vikram,Cash,3.9,Profitable,Medium Discount
TZ1079,2023-11-27,November,Q4,Refrigerator,Appliances,Bangalore,1,23985,38002,5,23985,46932.47,22947.47,48.89,58,Adequate,Loyal,Amit,EMI,3.6,Profitable,Low Discount
TZ1080,2023-06-29,June,Q2,Headphones,Audio,Hyderabad,11,8745,6557,5,96195,51390.49,-44804.51,-87.18,47,Adequate,Returning,Meera,UPI,5,Loss,Low Discount
TZ1081,2024-04-26,April,Q2,LED TV,Display,Chennai,6,36040,63917,10,216240,293379.03,77139.03,26.29,70,Adequate,Returning,Sneha,UPI,3.9,Profitable,Low Discount
TZ1082,2024-02-15,February,Q1,Bluetooth Speaker,Audio,Mumbai,8,1721,6653,10,13768,57481.92,43713.92,76.05,30,Adequate,New,Sneha,EMI,4.7,Profitable,Low Discount
TZ1083,2023-01-02,January,Q1,Washing Machine,Appliances,Hyderabad,4,28541,22552,10,114164,60890.4,-53273.6,-87.49,43,Adequate,Returning,Vikram,UPI,4.4,Loss,Low Discount
TZ1084,2023-02-22,February,Q1,Smartphone,Mobile,Bangalore,9,12293,28876,15,110637,220901.4,110264.4,49.92,17,Low,New,Rahul,EMI,4.7,Profitable,Medium Discount
TZ1085,2024-12-27,December,Q4,Tablet,Computing,Bangalore,1,30096,28369,0,30096,36879.7,6783.7,18.39,24,Low,New,Sneha,Cash,4.5,Profitable,No Discount
TZ1086,2023-06-07,June,Q2,Headphones,Audio,Bangalore,9,5979,8807,15,53811,67373.55,13562.55,20.13,40,Adequate,New,Sneha,EMI,3.7,Profitable,Medium Discount
TZ1087,2023-07-15,July,Q3,Refrigerator,Appliances,Hyderabad,2,22575,41104,20,45150,54257.28,9107.28,16.79,31,Adequate,Loyal,Amit,Cash,3.3,Profitable,Medium Discount
TZ1088,2023-11-02,November,Q4,Refrigerator,Appliances,Hyderabad,4,27738,52264,20,110952,163063.68,52111.68,31.96,32,Adequate,Returning,Vikram,EMI,3.4,Profitable,Medium Discount
TZ1089,2023-11-26,November,Q4,Smartphone,Mobile,Delhi,10,20549,25306,15,205490,307594.43,102104.43,33.19,3,Critical,Returning,Meera,UPI,4.6,Profitable,Medium Discount
TZ1090,2024-01-26,January,Q1,Monitor,Display,Delhi,8,9213,14136,30,73704,87077.76,13373.76,15.36,125,Overstocked,Returning,Rahul,UPI,3.1,Profitable,High Discount
TZ1091,2024-04-12,April,Q2,Laptop,Computing,Delhi,7,77911,55116,0,545377,424393.2,-120983.8,-28.51,40,Adequate,Returning,Amit,EMI,4.5,Loss,No Discount
TZ1092,2024-10-27,October,Q4,Desktop PC,Computing,Bangalore,7,45752,73077,15,320264,565250.59,244986.59,43.34,44,Adequate,New,Vikram,Cash,3.9,Profitable,Medium Discount
TZ1093,2024-12-01,December,Q4,Smartwatch,Mobile,Delhi,12,4480,11110,0,53760,190647.6,136887.6,71.8,5,Critical,Returning,Priya,Debit Card,4.9,Profitable,No Discount
TZ1094,2023-02-17,February,Q1,LED TV,Display,Mumbai,5,38492,44565,25,192460,200542.5,8082.5,4.03,68,Adequate,New,Vikram,UPI,3.6,Profitable,High Discount
TZ1095,2023-07-04,July,Q3,Tablet,Computing,Delhi,2,31971,43535,15,63942,89551.5,25609.5,28.6,49,Adequate,Loyal,Priya,UPI,4.9,Profitable,Medium Discount
TZ1096,2023-05-27,May,Q2,Smartphone,Mobile,Chennai,11,16322,40118,10,179542,337592.97,158050.97,46.82,2,Critical,Returning,Amit,EMI,3.7,Profitable,Low Discount
TZ1097,2024-03-28,March,Q1,LED TV,Display,Hyderabad,5,56873,47807,20,284365,143421,-140944,-98.27,108,Overstocked,Returning,Priya,UPI,3.9,Loss,Medium Discount
TZ1098,2023-04-20,April,Q2,Smartphone,Mobile,Chennai,10,19762,47670,10,197620,364675.5,167055.5,45.81,11,Low,New,Meera,UPI,3.9,Profitable,Low Discount
TZ1099,2024-08-02,August,Q3,Washing Machine,Appliances,Mumbai,5,39417,51553,15,197085,289212.33,92127.33,31.85,59,Adequate,New,Vikram,Debit Card,3.8,Profitable,Medium Discount
TZ1100,2023-07-14,July,Q3,Refrigerator,Appliances,Bangalore,2,24367,64121,5,48734,134012.89,85278.89,63.63,29,Adequate,Returning,Rahul,EMI,4,Profitable,Low Discount
TZ1101,2023-05-15,May,Q2,Desktop PC,Computing,Bangalore,6,52230,43510,5,313380,248007,-65373,-26.36,18,Low,Loyal,Amit,EMI,4.3,Loss,Low Discount
TZ1102,2023-10-07,October,Q4,Tablet,Computing,Bangalore,8,21671,39463,10,173368,369373.68,196005.68,53.06,17,Low,Returning,Rahul,Credit Card,4.6,Profitable,Low Discount
TZ1103,2023-08-20,August,Q3,Washing Machine,Appliances,Chennai,5,26985,24918,20,134925,93193.32,-41731.68,-44.78,10,Low,Returning,Vikram,Cash,3.5,Loss,Medium Discount
TZ1104,2024-11-19,November,Q4,Air Conditioner,Appliances,Bangalore,5,49970,73847,15,249850,408004.67,158154.67,38.76,16,Low,Loyal,Priya,UPI,3.5,Profitable,Medium Discount
TZ1105,2024-07-28,July,Q3,LED TV,Display,Hyderabad,4,57444,24142,25,229776,59751.45,-170024.55,-284.55,139,Overstocked,Returning,Meera,UPI,3.1,Loss,High Discount
TZ1106,2023-02-16,February,Q1,Laptop,Computing,Bangalore,8,42610,51369,5,340880,390404.4,49524.4,12.69,44,Adequate,New,Sneha,UPI,4.1,Profitable,Low Discount
TZ1107,2024-12-14,December,Q4,Bluetooth Speaker,Audio,Chennai,10,7080,4031,15,70800,37861.17,-32938.83,-87,51,Adequate,New,Sneha,EMI,4.1,Loss,Medium Discount
TZ1108,2023-10-14,October,Q4,Laptop,Computing,Bangalore,4,64057,74143,5,256228,366266.42,110038.42,30.04,33,Adequate,New,Meera,Debit Card,4.3,Profitable,Low Discount
TZ1109,2024-10-22,October,Q4,LED TV,Display,Mumbai,7,33080,32439,10,231560,318810.49,87250.49,27.37,108,Overstocked,New,Meera,Credit Card,4.5,Profitable,Low Discount
TZ1110,2024-09-03,September,Q3,Laptop,Computing,Mumbai,6,50962,53252,5,305772,364243.68,58471.68,16.05,14,Low,Loyal,Priya,EMI,3.8,Profitable,Low Discount
TZ1111,2023-08-27,August,Q3,LED TV,Display,Delhi,13,54058,20185,20,702754,254008.04,-448745.96,-176.67,68,Adequate,New,Vikram,Debit Card,3.8,Loss,Medium Discount
TZ1112,2023-04-23,April,Q2,Washing Machine,Appliances,Mumbai,2,15486,42477,10,30972,91750.32,60778.32,66.24,47,Adequate,Returning,Rahul,Credit Card,3.9,Profitable,Low Discount
TZ1113,2023-05-10,May,Q2,Air Conditioner,Appliances,Chennai,5,32448,36165,20,162240,122961,-39279,-31.94,38,Adequate,Returning,Vikram,EMI,3.1,Loss,Medium Discount
TZ1114,2024-05-30,May,Q2,Smartphone,Mobile,Hyderabad,1,31830,44173,10,31830,29816.78,-2013.22,-6.75,16,Low,Loyal,Rahul,Cash,5,Loss,Low Discount
TZ1115,2024-02-16,February,Q1,Monitor,Display,Mumbai,8,22534,12408,10,180272,107205.12,-73066.88,-68.16,91,Adequate,Loyal,Priya,Cash,3.7,Loss,Low Discount
TZ1116,2024-10-01,October,Q4,Washing Machine,Appliances,Hyderabad,5,38335,40311,20,191675,157212.9,-34462.1,-21.92,48,Adequate,Loyal,Amit,UPI,3.5,Loss,Medium Discount
TZ1117,2024-03-16,March,Q1,Desktop PC,Computing,Mumbai,4,53185,61593,5,212740,280864.08,68124.08,24.26,36,Adequate,Returning,Sneha,UPI,4.1,Profitable,Low Discount
TZ1118,2023-04-08,April,Q2,LED TV,Display,Chennai,6,58588,36704,20,351528,149752.32,-201775.68,-134.74,69,Adequate,Loyal,Sneha,Cash,3.1,Loss,Medium Discount
TZ1119,2023-03-29,March,Q1,Desktop PC,Computing,Chennai,2,49421,40527,0,98842,68895.9,-29946.1,-43.47,47,Adequate,Loyal,Vikram,Debit Card,4.5,Loss,No Discount
TZ1120,2024-02-25,February,Q1,LED TV,Display,Chennai,14,18371,38850,30,257194,323620.5,66426.5,20.53,89,Adequate,Returning,Rahul,EMI,3.5,Profitable,High Discount
TZ1121,2023-06-08,June,Q2,Washing Machine,Appliances,Chennai,2,42763,26092,15,85526,37702.94,-47823.06,-126.84,45,Adequate,Returning,Rahul,Debit Card,4.4,Loss,Medium Discount
TZ1122,2024-03-15,March,Q1,Bluetooth Speaker,Audio,Hyderabad,10,6529,1930,10,65290,13027.5,-52262.5,-401.17,11,Low,New,Amit,Debit Card,4.9,Loss,Low Discount
TZ1123,2023-12-26,December,Q4,Laptop,Computing,Delhi,3,72114,88079,15,216342,321180.07,104838.07,32.64,14,Low,New,Meera,Cash,3.6,Profitable,Medium Discount
TZ1124,2024-06-27,June,Q2,Smartphone,Mobile,Chennai,7,22865,32340,5,160055,182801.85,22746.85,12.44,13,Low,Returning,Meera,Debit Card,4.7,Profitable,Low Discount
TZ1125,2024-08-04,August,Q3,Refrigerator,Appliances,Mumbai,1,28196,33316,5,28196,41778.26,13582.26,32.51,53,Adequate,New,Amit,UPI,4.5,Profitable,Low Discount
TZ1126,2024-05-12,May,Q2,Refrigerator,Appliances,Chennai,4,35902,37127,5,143608,119920.21,-23687.79,-19.75,32,Adequate,Returning,Rahul,Debit Card,4.5,Loss,Low Discount
TZ1127,2024-08-30,August,Q3,Headphones,Audio,Hyderabad,11,6553,2744,5,72083,23656.71,-48426.29,-204.7,35,Adequate,Loyal,Rahul,Cash,3.8,Loss,Low Discount
TZ1128,2023-08-05,August,Q3,Tablet,Computing,Bangalore,5,22751,18931,0,113755,104120.5,-9634.5,-9.25,41,Adequate,Loyal,Sneha,Credit Card,3.7,Loss,No Discount
TZ1129,2024-06-29,June,Q2,Air Conditioner,Appliances,Delhi,5,48210,36723,20,241050,161581.2,-79468.8,-49.18,57,Adequate,New,Sneha,Cash,3.5,Loss,Medium Discount
TZ1130,2023-03-21,March,Q1,LED TV,Display,Hyderabad,7,52578,46504,25,368046,183109.5,-184936.5,-101,87,Adequate,New,Sneha,Cash,4,Loss,High Discount
TZ1131,2023-06-25,June,Q2,Refrigerator,Appliances,Chennai,3,23775,51620,5,71325,125049.45,53724.45,42.96,25,Adequate,Returning,Vikram,UPI,4.3,Profitable,Low Discount
TZ1132,2024-02-10,February,Q1,Smartwatch,Mobile,Bangalore,4,8456,16765,5,33824,63707,29883,46.91,4,Critical,Loyal,Meera,Cash,4.3,Profitable,Low Discount
TZ1133,2023-07-18,July,Q3,LED TV,Display,Bangalore,12,57299,73414,15,687588,823705.08,136117.08,16.52,80,Adequate,New,Priya,Debit Card,3.8,Profitable,Medium Discount
TZ1134,2024-09-08,September,Q3,Tablet,Computing,Mumbai,3,32576,31191,15,97728,95444.46,-2283.54,-2.39,58,Adequate,Loyal,Vikram,UPI,4.5,Loss,Medium Discount
TZ1135,2024-08-01,August,Q3,Washing Machine,Appliances,Hyderabad,3,43319,39718,10,129957,88471.85,-41485.15,-46.89,38,Adequate,New,Sneha,UPI,4.4,Loss,Low Discount
TZ1136,2023-10-09,October,Q4,Refrigerator,Appliances,Mumbai,3,51248,27862,15,153744,110835.04,-42908.96,-38.71,39,Adequate,Returning,Rahul,Cash,4.1,Loss,Medium Discount
TZ1137,2023-10-21,October,Q4,Desktop PC,Computing,Mumbai,7,55324,70032,0,387268,764749.44,377481.44,49.36,38,Adequate,Loyal,Meera,Credit Card,4,Profitable,No Discount
TZ1138,2024-05-02,May,Q2,Bluetooth Speaker,Audio,Delhi,1,4690,3195,10,4690,3163.05,-1526.95,-48.27,55,Adequate,New,Vikram,Credit Card,3.6,Loss,Low Discount
TZ1139,2024-12-25,December,Q4,Headphones,Audio,Chennai,9,10064,11991,5,90576,113287.97,22711.97,20.05,33,Adequate,Returning,Amit,UPI,4.1,Profitable,Low Discount
TZ1140,2023-12-13,December,Q4,Washing Machine,Appliances,Hyderabad,1,40861,40931,5,40861,37912.34,-2948.66,-7.78,31,Adequate,New,Vikram,UPI,3.9,Loss,Low Discount
